track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,deezer_playlist_count,deezer_playlist_reach,shazam_counts,explicit_track
"Milo J: Bzrp Music Sessions, Vol. 57",en dormir sin Madrid,Bizarrap,2023-10-03,UYB282301041,970,49.0,181516735.0,25092.0,10823656.0,67.0,155509942.0,2922165.0,182364.5,27141268.0,265551910.0,53784475.0,7.0,1849.0,9.0,401523.0,194645.0,0
Stuck In The Middle,BABYMONSTER Pre-Release Single [Stuck In The Middle],BABYMONSTER,2024-02-01,KRA402400004,972,49.0,21167612.0,1285.0,2035557.0,67.0,147951356.0,1755973.0,16500.0,8382900.0,70103300.0,80502081.0,5.0,284.0,15.0,230295.0,47782.0,0
No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,2022-04-28,QZHN72212529,973,49.0,582023797.0,48881.0,17367502.0,70.0,293059162.0,1383526.0,1100596.0,64787440.0,805988782.0,40039.0,26.0,18750.0,6.0,53465.0,1946266.0,0
Aesthetic,Aesthetic,Xilo,2020-02-14,QZFZ22071847,969,49.0,27312761.0,9048.0,2060708.0,38.0,3538161.0,118805.0,12562825.0,754488882.0,5979843010.0,86473112.0,6.0,5993.0,2.0,3328.0,26178.0,1
get him back!,GUTS,Olivia Rodrigo,2023-09-08,USUG12304099,971,49.0,287724574.0,25460.0,15517447.0,67.0,54771296.0,818500.0,485830.0,47532963.0,469327093.0,1298782751.0,47.0,56.0,29.0,1998239.0,770996.0,1
LA PEOPLE II,LA PEOPLE II,Peso Pluma,2024-03-21,QM4TX2458976,978,48.9,123243341.0,5069.0,34480158.0,79.0,53762979.0,472820.0,182364.5,171600.0,3100000.0,100962228.0,13.0,8.0,4.0,1081795.0,121403.0,1
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black: Songs From The Original Motion Picture,Amy Winehouse,2024-04-12,GBCAD2000628,974,48.9,562814594.0,17.0,25810.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,1.0,530.0,903827.0,0
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401029,975,48.9,150693008.0,3273.0,15710281.0,67.0,15389385.0,261652.0,182364.5,4822.0,39100.0,100962228.0,29.0,450.0,4.0,53098.0,49802.0,1
Your Love (9PM),Your Love (9PM),ATB,2021-01-15,DECE72003523,976,48.9,721002104.0,146298.0,62920572.0,71.0,118729044.0,952700.0,25400.0,5772644.0,81735548.0,153714110.0,201.0,361427.0,115.0,2519598.0,7799522.0,0
One Side,One Side,Iyanya,2022-09-15,ZA41S2225757,977,48.9,23823099.0,10859.0,859682.0,53.0,75987807.0,365743.0,4024066.0,59428340.0,1004679876.0,42569293.0,3.0,2518.0,15.0,230295.0,903827.0,0
HEAT STICK,HEAT STICK,Shoreline Mafia,2024-05-10,USAT22402903,979,48.8,20538101.0,3675.0,33607850.0,74.0,3575151.0,101311.0,182364.5,20600.0,108700.0,381728.0,23.0,370.0,5.0,38916.0,75399.0,1
Photograph,x (Wembley Edition),Ed Sheeran,2013-01-01,GBAHS1400094,980,48.8,2525355904.0,208671.0,121163411.0,77.0,1884843329.0,9916244.0,1459274.0,502385405.0,4406781129.0,1706776803.0,249.0,89818.0,234.0,603824.0,17163765.0,0
Virginia Beach,For All The Dogs,Drake,2023-10-06,USUG12306066,981,48.8,165204421.0,38562.0,6636362.0,67.0,16599214.0,126612.0,182364.5,27141268.0,265551910.0,35874.0,5.0,1751.0,2.0,1924.0,349915.0,1
Great Gatsby,Nostalgia,Rod Wave,2023-09-15,USQX92305201,982,48.7,66813186.0,11024.0,4487030.0,67.0,75881981.0,409473.0,4842.0,4543062.0,34091093.0,359281223.0,11.0,1245.0,3.0,21417.0,395093.0,1
Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,2022-04-22,USUG12202266,986,48.6,1020452066.0,108274.0,75934462.0,79.0,114404861.0,1372385.0,228100.0,129184868.0,1013000586.0,995903.0,45.0,74239.0,27.0,250765.0,903827.0,0
